类型,类型说明,中文名称,技术ID,原始标识,分类,使用用途,调用方式,源版本,目录
agent,Agent 内容能力,行业研究助手,clipmind-agent-industry-research,industry-research,研究与洞察,"把行业资料、报告摘要、竞品信息和用户变化整理成内容可用的研究结论。需要资料来源和研究问题,会输出趋势、机会、风险和引用线索。",$clipmind-agent-industry-research,2026.05.18,skills/clipmind-agent-industry-research/
agent,Agent 内容能力,行业资料检索助手,clipmind-agent-industry-material-search-plan,industry-material-search-plan,研究与洞察,"为某个行业问题设计资料检索方案和引用结构。需要研究问题和使用场景,会输出检索关键词、来源类型、筛选标准和人工核验清单。",$clipmind-agent-industry-material-search-plan,2026.05.18,skills/clipmind-agent-industry-material-search-plan/
agent,Agent 内容能力,观点溯源助手,clipmind-agent-viewpoint-source-tracing,viewpoint-source-tracing,研究与洞察,"帮助判断一个观点来自一手资料、二手转述还是个人推断。需要观点和已知来源,会输出来源层级、传播风险、原始来源候选和核验动作。",$clipmind-agent-viewpoint-source-tracing,2026.05.18,skills/clipmind-agent-viewpoint-source-tracing/
agent,Agent 内容能力,证据链生成助手,clipmind-agent-evidence-chain-builder,evidence-chain-builder,研究与洞察,"把观点、案例和资料整理成观点到证据再到来源的证据链。需要用户提供资料或公开来源摘要,会输出支持证据、反证风险、缺口和引用建议。",$clipmind-agent-evidence-chain-builder,2026.05.18,skills/clipmind-agent-evidence-chain-builder/
agent,Agent 内容能力,采访方案生成器,clipmind-agent-interview-plan,interview-plan,研究与洞察,"为客户、创始人、用户或案例对象生成采访提纲。需要采访目标和背景资料,会输出问题分组、追问方向、证据采集点和禁问提醒。",$clipmind-agent-interview-plan,2026.05.18,skills/clipmind-agent-interview-plan/
agent,Agent 内容能力,内容改写润色助手,clipmind-agent-content-rewrite-polish,content-rewrite-polish,表达与改写,"把已有文案、脚本或笔记改写成更清楚、更口语或更适合平台的版本。需要原文和目标风格,会输出改写稿、保留点、改动说明和风险表达。",$clipmind-agent-content-rewrite-polish,2026.05.18,skills/clipmind-agent-content-rewrite-polish/
agent,Agent 内容能力,多平台改写助手,clipmind-agent-multi-platform-rewrite,multi-platform-rewrite,表达与改写,"把同一段内容改写成小红书、抖音、视频号、公众号或朋友圈版本。需要原文、目标平台和边界,会输出不同平台的表达重点、标题和正文候选。",$clipmind-agent-multi-platform-rewrite,2026.05.18,skills/clipmind-agent-multi-platform-rewrite/
agent,Agent 内容能力,开头钩子分析助手,clipmind-agent-opening-hook-analysis,opening-hook-analysis,表达与改写,"分析短视频、图文或直播开头是否能抓住用户。需要开头文本、平台和目标用户,会输出停留点、冲突点、替代钩子和风险提醒。",$clipmind-agent-opening-hook-analysis,2026.05.18,skills/clipmind-agent-opening-hook-analysis/
agent,Agent 内容能力,标题与钩子生成助手,clipmind-agent-title-hook-generator,title-hook-generator,表达与改写,"为图文、短视频、直播或私域内容生成标题和开场钩子。需要主题、目标用户和平台,会输出多种角度版本、适用场景和夸大风险提醒。",$clipmind-agent-title-hook-generator,2026.05.18,skills/clipmind-agent-title-hook-generator/
agent,Agent 内容能力,CTA 优化助手,clipmind-agent-cta-optimizer,cta-optimizer,转化承接,"优化内容结尾、评论引导、私信承接或资料领取动作。需要内容目标和产品边界,会输出多个 CTA 版本、适用场景和风险提醒。",$clipmind-agent-cta-optimizer,2026.05.18,skills/clipmind-agent-cta-optimizer/
agent,Agent 内容能力,产品力可视化助手,clipmind-agent-product-value-visualizer,product-value-visualizer,转化承接,"把产品卖点、服务流程或客户价值转成更容易理解的结构图、对比表或图文卡 brief。需要产品信息和目标用户,会输出视觉结构和文案要点。",$clipmind-agent-product-value-visualizer,2026.05.18,skills/clipmind-agent-product-value-visualizer/
agent,Agent 内容能力,朋友圈内容助手,clipmind-agent-moments-content,moments-content,转化承接,"基于《朋友圈运营内容发布方式方案》+《核心判断》方法论,把当前要发的事件 / 案例 / 客户诊断 / 观点写成朋友圈条目。每条都明确归属 5 主线之一(诊断 30% / 营销认知 25% / 产品教育 15% / 案例变化 20% / 老板状态 10%)、6 类信任内容之一、套信任型爆款公式、带 2 钩子,产出可直接发的内容草稿。",$clipmind-agent-moments-content,2026.05.18,skills/clipmind-agent-moments-content/
agent,Agent 内容能力,私域营销策略助手,clipmind-agent-private-marketing-strategy,private-marketing-strategy,转化承接,"设计从内容触达到私域转化的整体策略。需要产品、目标用户、私域入口和历史线索,会输出用户分层、触达节奏、内容承接和人工执行清单。",$clipmind-agent-private-marketing-strategy,2026.05.18,skills/clipmind-agent-private-marketing-strategy/
agent,Agent 内容能力,私域转化顾问,clipmind-agent-private-conversion,private-conversion,转化承接,"设计内容发布后的承接入口、用户分层、私域话术和产品连接。需要产品信息、目标用户和内容主题,会输出承接路径与人工确认清单。",$clipmind-agent-private-conversion,2026.05.18,skills/clipmind-agent-private-conversion/
agent,Agent 内容能力,转化路径诊断助手,clipmind-agent-conversion-path-diagnosis,conversion-path-diagnosis,转化承接,"诊断从内容曝光到评论、私信、咨询和成交的路径断点。需要内容、承接入口和反馈数据,会输出断点、假设、补齐动作和人工确认建议。",$clipmind-agent-conversion-path-diagnosis,2026.05.18,skills/clipmind-agent-conversion-path-diagnosis/
agent,Agent 内容能力,内容排期助手,clipmind-agent-content-schedule-planner,content-schedule-planner,选题与计划,"把选题池、阶段目标和团队产能整理成内容周期建议。需要选题、平台和发布节奏,会输出周期安排、内容角色、生产优先级和人工确认点。",$clipmind-agent-content-schedule-planner,2026.05.18,skills/clipmind-agent-content-schedule-planner/
agent,Agent 内容能力,内容矩阵规划助手,clipmind-agent-content-matrix-planner,content-matrix-planner,选题与计划,"规划主号、矩阵号、栏目和内容分工。需要品牌目标、平台、人群和产能,会输出矩阵角色、内容分层、协作节奏和风险边界。",$clipmind-agent-content-matrix-planner,2026.05.18,skills/clipmind-agent-content-matrix-planner/
agent,Agent 内容能力,内容缺口分析助手,clipmind-agent-content-gap-analysis,content-gap-analysis,选题与计划,"对比用户痛点、已有内容、竞品和素材,找出当前内容体系缺少的主题和证据。需要内容清单或摘要,会输出缺口、优先级和补齐建议。",$clipmind-agent-content-gap-analysis,2026.05.18,skills/clipmind-agent-content-gap-analysis/
agent,Agent 内容能力,内容选题策划专家,clipmind-agent-topic-planner,topic-planner,选题与计划,"围绕目标用户、痛点和阶段目标生成可进入内容计划的选题池。需要 IP 档案和素材缺口,会输出主题、标题方向、用户情绪、平台适配和拍摄准备。",$clipmind-agent-topic-planner,2026.05.18,skills/clipmind-agent-topic-planner/
governance,治理评审,Agent 意图路由,clipmind-governance-agent-intent-routing-v1,agent_intent_routing.v1,质量治理评审,"根据用户问题选择合适 Agent 或工作流分类,并识别是否需要收束需求。",$clipmind-governance-agent-intent-routing-v1,v1,skills/clipmind-governance-agent-intent-routing-v1/
governance,治理评审,IP 一致性判断,clipmind-governance-ip-consistency-v1,ip_consistency.v1,质量治理评审,判断输出是否贴合当前身份定位、目标用户、用户痛点、内容主张和内容禁忌。,$clipmind-governance-ip-consistency-v1,v1,skills/clipmind-governance-ip-consistency-v1/
governance,治理评审,Skill 治理与样本评估,clipmind-governance-skill-governance-eval-v1,skill_governance_eval.v1,质量治理评审,"管理 Skill 版本、样本、通过率和低质量反馈,只在治理区展示。",$clipmind-governance-skill-governance-eval-v1,v1,skills/clipmind-governance-skill-governance-eval-v1/
governance,治理评审,内容生成轻量参考,clipmind-governance-content-generation-reference-v1,content_generation_reference.v1,质量治理评审,"将场景、痛点层级、表达结构、变量填充和边界检查作为内容生成类 Prompt/Agent 的内部参考,提升草案具体度而不新增用户模块。",$clipmind-governance-content-generation-reference-v1,v1,skills/clipmind-governance-content-generation-reference-v1/
governance,治理评审,内容禁忌与风险边界,clipmind-governance-content-boundary-v1,content_boundary.v1,质量治理评审,识别承诺收益、夸大表达、焦虑放大、案例编造、平台违规和客户隐私风险。,$clipmind-governance-content-boundary-v1,v1,skills/clipmind-governance-content-boundary-v1/
governance,治理评审,发布准备检查,clipmind-governance-publish-readiness-v1,publish_readiness.v1,质量治理评审,检查平台、版本、时间、素材授权和风险确认是否齐备。,$clipmind-governance-publish-readiness-v1,v1,skills/clipmind-governance-publish-readiness-v1/
governance,治理评审,发布排期一致性,clipmind-governance-schedule-consistency-v1,schedule_consistency.v1,质量治理评审,保证内容计划、最终发布时间和发布排期显示一致。,$clipmind-governance-schedule-consistency-v1,v1,skills/clipmind-governance-schedule-consistency-v1/
governance,治理评审,复盘学习与方法沉淀,clipmind-governance-retrospect-learning-v1,retrospect_learning.v1,质量治理评审,从表现数据、人工判断和业务结果中形成下周期调整与方法库候选。,$clipmind-governance-retrospect-learning-v1,v1,skills/clipmind-governance-retrospect-learning-v1/
governance,治理评审,平台表达适配,clipmind-governance-platform-expression-v1,platform_expression.v1,质量治理评审,根据平台调整内容节奏、长度、标题、语气、CTA 和发布前检查点。,$clipmind-governance-platform-expression-v1,v1,skills/clipmind-governance-platform-expression-v1/
governance,治理评审,归因证据判断,clipmind-governance-attribution-evidence-v1,attribution_evidence.v1,质量治理评审,"区分真实数据、人工判断和推测,避免误沉淀方法。",$clipmind-governance-attribution-evidence-v1,v1,skills/clipmind-governance-attribution-evidence-v1/
governance,治理评审,当前 IP 上下文路由,clipmind-governance-current-ip-context-routing-v1,current_ip_context_routing.v1,质量治理评审,"默认结合当前客户/IP 上下文回答,同时识别泛问题、跨 IP 意图和权限边界。",$clipmind-governance-current-ip-context-routing-v1,v1,skills/clipmind-governance-current-ip-context-routing-v1/
governance,治理评审,方法资产治理,clipmind-governance-method-asset-governance-v1,method_asset_governance.v1,质量治理评审,判断方法是否可沉淀、适用哪些 IP/平台和是否要迭代。,$clipmind-governance-method-asset-governance-v1,v1,skills/clipmind-governance-method-asset-governance-v1/
governance,治理评审,爆款结构拆解,clipmind-governance-viral-structure-v1,viral_structure.v1,质量治理评审,沉淀标题、开头、情绪推进、结构转折、证据摆放和转化收口的可复用方法。,$clipmind-governance-viral-structure-v1,v1,skills/clipmind-governance-viral-structure-v1/
governance,治理评审,生产路径判断,clipmind-governance-production-path-routing-v1,production_path_routing.v1,质量治理评审,"判断任务走已有文稿直接生产,还是从素材召回生成。",$clipmind-governance-production-path-routing-v1,v1,skills/clipmind-governance-production-path-routing-v1/
governance,治理评审,监控信号判断,clipmind-governance-monitor-signal-judgement-v1,monitor_signal_judgement.v1,质量治理评审,基于 2h/24h/72h 数据判断异常、机会和调整方向。,$clipmind-governance-monitor-signal-judgement-v1,v1,skills/clipmind-governance-monitor-signal-judgement-v1/
governance,治理评审,策略草案综合,clipmind-governance-strategy-synthesis-v1,strategy_synthesis.v1,质量治理评审,把档案、资料、方法和用户目标整理成本轮策略草稿。,$clipmind-governance-strategy-synthesis-v1,v1,skills/clipmind-governance-strategy-synthesis-v1/
governance,治理评审,素材证据链判断,clipmind-governance-evidence-chain-v1,evidence_chain.v1,质量治理评审,"判断观点、素材、事实、证据缺口和来源可靠性,避免把假设包装成事实。",$clipmind-governance-evidence-chain-v1,v1,skills/clipmind-governance-evidence-chain-v1/
governance,治理评审,素材贴合与反幻觉,clipmind-governance-material-grounding-guard-v1,material_grounding_guard.v1,质量治理评审,"检查输出是否真正来自上传资料,阻止通用经验冒充资料结论。",$clipmind-governance-material-grounding-guard-v1,v1,skills/clipmind-governance-material-grounding-guard-v1/
governance,治理评审,自然度审校与 IP 语气校准,clipmind-governance-naturalness-voice-calibration-v1,naturalness_voice_calibration.v1,质量治理评审,对 Agent 和生产输出做去 AI 味、当前 IP 语气和自然表达校准。,$clipmind-governance-naturalness-voice-calibration-v1,v1,skills/clipmind-governance-naturalness-voice-calibration-v1/
governance,治理评审,行业变化可信检索,clipmind-governance-industry-change-retrieval-v1,industry_change_retrieval.v1,质量治理评审,"只在有可信来源、时间和适用边界时纳入行业变化,无来源不阻断主链路。",$clipmind-governance-industry-change-retrieval-v1,v1,skills/clipmind-governance-industry-change-retrieval-v1/
governance,治理评审,观点召回与可用性判断,clipmind-governance-viewpoint-recall-readiness-v1,viewpoint_recall_readiness.v1,质量治理评审,"判断素材观点是否足够进入生产下一步,并提供生成/重试观点入口语义。",$clipmind-governance-viewpoint-recall-readiness-v1,v1,skills/clipmind-governance-viewpoint-recall-readiness-v1/
governance,治理评审,观点提炼与素材标签,clipmind-governance-viewpoint-material-tagging-v1,viewpoint_material_tagging.v1,质量治理评审,"从资料中提炼观点、事实、案例、风险和适用场景,供生产召回使用。",$clipmind-governance-viewpoint-material-tagging-v1,v1,skills/clipmind-governance-viewpoint-material-tagging-v1/
governance,治理评审,购买/信任理由矩阵,clipmind-governance-purchase-reason-matrix-v1,purchase_reason_matrix.v1,质量治理评审,"提炼用户为什么相信、为什么行动、为什么现在行动,并区分理性理由与情绪触发。",$clipmind-governance-purchase-reason-matrix-v1,v1,skills/clipmind-governance-purchase-reason-matrix-v1/
governance,治理评审,资料理解与档案提炼,clipmind-governance-profile-material-understanding-v1,profile_material_understanding.v1,质量治理评审,"基于当前客户/IP 的建档资料统一提炼 8 个核心档案维度,并保留来源和人工确认边界。",$clipmind-governance-profile-material-understanding-v1,v1,skills/clipmind-governance-profile-material-understanding-v1/
governance,治理评审,资料读取与入库判断,clipmind-governance-material-ingestion-readiness-v1,material_ingestion_readiness.v1,质量治理评审,"判断资料是否可读、可入库、可用于建档或生产,并给出恢复动作。",$clipmind-governance-material-ingestion-readiness-v1,v1,skills/clipmind-governance-material-ingestion-readiness-v1/
governance,治理评审,选题生成与槽位拆解,clipmind-governance-topic-slot-generation-v1,topic_slot_generation.v1,质量治理评审,把阶段目标拆成对应数量的选题、槽位和发布节奏。,$clipmind-governance-topic-slot-generation-v1,v1,skills/clipmind-governance-topic-slot-generation-v1/
governance,治理评审,阶段式内容计划编排,clipmind-governance-stage-plan-orchestration-v1,stage_plan_orchestration.v1,质量治理评审,根据阶段数、日期、目标内容数和检查点生成阶段计划草稿。,$clipmind-governance-stage-plan-orchestration-v1,v1,skills/clipmind-governance-stage-plan-orchestration-v1/
image,生图能力,IP 形象,clipmind-image-char-ip,char-ip,人物IP,品牌吉祥物,$clipmind-image-char-ip,未单独声明,skills/clipmind-image-char-ip/
image,生图能力,二次元角色,clipmind-image-char-anime,char-anime,人物IP,动漫角色立绘,$clipmind-image-char-anime,未单独声明,skills/clipmind-image-char-anime/
image,生图能力,头像,clipmind-image-char-avatar,char-avatar,人物IP,社媒/名片头像,$clipmind-image-char-avatar,未单独声明,skills/clipmind-image-char-avatar/
image,生图能力,表情包,clipmind-image-char-emoji,char-emoji,人物IP,sticker 表情,$clipmind-image-char-emoji,未单独声明,skills/clipmind-image-char-emoji/
image,生图能力,信息图,clipmind-image-info-graphic,info-graphic,信息知识,结构化干货图,$clipmind-image-info-graphic,未单独声明,skills/clipmind-image-info-graphic/
image,生图能力,对比图,clipmind-image-info-compare,info-compare,信息知识,左右/前后对比,$clipmind-image-info-compare,未单独声明,skills/clipmind-image-info-compare/
image,生图能力,步骤教程图,clipmind-image-info-steps,info-steps,信息知识,分步骤说明,$clipmind-image-info-steps,未单独声明,skills/clipmind-image-info-steps/
